,Latitude,Longitude,Temperature (F),Humidity,Wind Speed (mph),Cloudiness %
Suhbaatar,50.23,106.21,10.49,56,4.16,0
Ambon,47.55,-2.56,40.44,100,6.93,44
Deputatskiy,69.3,139.9,-37.12,0,2.71,12
Fukue,35.03,136.69,56.08,62,36.91,20
Jackson,35.61,-88.82,39.34,62,10.29,1
Linqu,36.52,118.54,34.43,34,7.18,0
Maceio,-9.67,-35.74,77.0,78,6.93,20
Tutoia,-2.76,-42.27,73.9,98,4.16,24
Zhezkazgan,47.8,67.71,-2.21,84,4.47,75
Marsa Matruh,31.35,27.25,57.2,67,12.75,0
Bollnas,61.35,16.39,20.8,89,4.16,0
Yanam,16.73,82.22,78.8,61,5.82,0
Lagos,6.46,3.39,80.6,94,2.24,20
Ziarat,30.38,67.73,40.64,37,3.38,0
Igarka,67.47,86.57,14.81,88,12.77,92
Maldonado,-34.91,-54.96,69.8,88,8.05,75
Buarcos,40.16,-8.88,51.8,100,1.12,90
Graulhet,43.76,2.0,36.9,88,2.24,0
Safford,32.83,-109.71,42.08,70,4.7,1
Daru,7.99,-10.85,72.6,83,4.94,0
Corning,42.14,-77.05,28.63,81,4.7,90
Santa Cruz,36.97,-122.03,49.17,79,3.36,1
Pitimbu,-7.47,-34.81,75.2,94,5.82,40
Lagunillas,8.5,-71.39,50.9,99,1.7,8
Puerto Carreno,6.19,-67.49,80.6,83,3.6,75
Tupik,54.43,119.94,-22.27,30,3.15,32
Warrington,53.39,-2.59,43.36,87,9.17,40
Manta,45.1,24.1,13.46,67,2.93,24
At-Bashi,41.17,75.81,20.84,74,2.37,12
Kawalu,-7.38,108.21,77.72,85,1.7,68
Quatre Cocos,-20.21,57.76,82.4,74,11.41,40
Sukhinichi,54.1,35.35,28.63,96,11.21,88
Pagadian,7.83,123.44,82.0,88,1.25,44
Mangrol,25.33,76.51,68.0,64,2.24,75
Narok,-1.09,35.87,62.78,99,4.16,68
Ust-Kut,56.78,105.75,1.67,57,4.83,68
Tommot,58.97,126.27,-13.72,60,2.59,64
Faya,18.39,42.45,56.25,82,4.05,5
Kudahuvadhoo,2.67,72.89,83.66,100,12.21,0
